instruction,input,output,prompt,formatted_input
Write a scientific explanation for why the sky is blue.,,"The sky appears blue due to the scattering of light from molecules in the Earth's atmosphere. Sunlight enters the atmosphere and interacts with the molecules and particles, causing light particles to scatter in all directions. The blue light has the greatest ability to penetrate the atmosphere, so it reaches our eyes more often than other colors, making the sky appear blue.",Write a scientific explanation for why the sky is blue.,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Write a scientific explanation for why the sky is blue.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
"In this task, you need to provide an example of a situation where creativity is required.",,"An example of a situation where creativity is required would be coming up with a new product design. For example, when creating a new type of shoe, the designer must use their creativity to come up with a design that is innovative and appealing to the target market.","In this task, you need to provide an example of a situation where creativity is required.","<|begin_of_text|><|start_header_id|>user<|end_header_id|>

In this task, you need to provide an example of a situation where creativity is required.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
Generate a conversation between two people who have just met.,People: John and Kate,"John: Hey, I'm John. It's really nice to meet you.

Kate: Hi John, I'm Kate. Nice to meet you too.

John: Are you from around here?

Kate: Yeah, I was born and raised here. What about you? 

John: I'm from the other side of town. I just moved here.

Kate: That's cool. Do you like it so far?

John: Yeah, I'm enjoying it so far.","Generate a conversation between two people who have just met.

People: John and Kate","<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Generate a conversation between two people who have just met.

People: John and Kate<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
Provide an example of a 5-year career plan,,"In five years, my career plan is to gain experience in my field by continuing to work with higher level projects and take on more responsibility, in order to gain a better understanding of my industry. I also plan on taking advantage of any available learning opportunities, such as seminars and workshops, to further strengthen my skills. Additionally, I will work on developing a strong professional network, to find potential job opportunities in the future.",Provide an example of a 5-year career plan,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Provide an example of a 5-year career plan<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
"Read the following text and classify it into one of the three genres: Fantasy, Science Fiction, or Horror.",The woman turned to look at the dark figure that had stepped out of the shadows. She stared in horror as she realised the figure was not human.,Horror,"Read the following text and classify it into one of the three genres: Fantasy, Science Fiction, or Horror.

The woman turned to look at the dark figure that had stepped out of the shadows. She stared in horror as she realised the figure was not human.","<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Read the following text and classify it into one of the three genres: Fantasy, Science Fiction, or Horror.

The woman turned to look at the dark figure that had stepped out of the shadows. She stared in horror as she realised the figure was not human.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
Generate a 5-word phrase that suggests success.,,Smooth sailing to success.,Generate a 5-word phrase that suggests success.,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Generate a 5-word phrase that suggests success.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
"Explain the concept of a ""heartbeat"" in terms of database management.",,"In database management, a heartbeat is a background task that is performed regularly to ensure the database is up and running. The heartbeat helps detect any errors or problems with the database, and will alert system administrators so that they can be quickly remedied. The heartbeat also serves additional functions such as detecting connection drops, creating database backups, and determining whether database nodes are up or down.","Explain the concept of a ""heartbeat"" in terms of database management.","<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Explain the concept of a ""heartbeat"" in terms of database management.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
Name two anti-virus software.,,Two popular anti-virus software are McAfee and Norton.,Name two anti-virus software.,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Name two anti-virus software.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
Describe a small business that someone is thinking of starting.,,"A small business is being imagined that would bring fresh, homemade baked goods to the local community. The small business would offer a variety of cakes, cookies, pies, donuts, muffins, and other treats, all prepared daily in a small kitchen and delivered to local shops and homes. Future plans to expand the business include creating an online storefront and eventually hosting baking classes and workshops.",Describe a small business that someone is thinking of starting.,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Describe a small business that someone is thinking of starting.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
"Given an input of celebrity names, suggest a pair of celebrities who have worked together in any form.","Angelina Jolie, Matt Damon","Angelina Jolie and Matt Damon have both starred in the movie ‘The Good Shepherd’, directed by Robert De Niro in 2006.","Given an input of celebrity names, suggest a pair of celebrities who have worked together in any form.

Angelina Jolie, Matt Damon","<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Given an input of celebrity names, suggest a pair of celebrities who have worked together in any form.

Angelina Jolie, Matt Damon<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
Create a timeline of the events that led to the given result.,The rise of eCommerce,"- 1993: First eCommerce transaction took place 
- 1995: Amazon and eBay founded 
- 2003: PayPal formed to facilitate online payments 
- 2008: Mobile shopping and technology advancements increase the ease of eCommerce 
- 2011: 5% of global retail sales occur online 
- 2016: Global eCommerce sales surpass $1 trillion","Create a timeline of the events that led to the given result.

The rise of eCommerce","<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Create a timeline of the events that led to the given result.

The rise of eCommerce<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
Write a description of a person's first job.,,"John's first job was working at a local cafe. He enjoyed the fast-paced environment and the friendly customers. He quickly learned how to use the coffee machine and make different types of coffee drinks. He even learned how to bake pastries from scratch. On the weekends, he often stayed late to help the restaurant with its busy rushes. From this job, John learned about customer service and how to enjoy the work he does.",Write a description of a person's first job.,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Write a description of a person's first job.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
What is the sum of the first 10 prime numbers?,,127,What is the sum of the first 10 prime numbers?,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

What is the sum of the first 10 prime numbers?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
Create an algorithm for finding out the largest number in an array of integers.,,"def find_maximum_number(numbers):
""""""
Given an array of integers, find and return the largest number

Args:
    numbers: a list of integers

Returns:
    maximum: the largest number in the given array

""""""
    maximum = numbers[0]
    for number in numbers:
        if number > maximum:
            maximum = number
        
    return maximum",Create an algorithm for finding out the largest number in an array of integers.,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Create an algorithm for finding out the largest number in an array of integers.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
Name the languages which uses the Latin alphabets,,"Many languages ​​use the Latin alphabet, including English, French, Spanish, German, Italian, Portuguese, Dutch, Danish, Swedish, Norwegian, Romanian, Catalan, Finnish, Polish, Czech, Slovak, Croatian, Hungarian, and Latin itself. Additionally, some African languages, such as Swahili, Zulu, and Xhosa, used variants of the Latin alphabet. Other languages that use a variation of the Latin alphabet include Tagalog, Hawaiian, and Esperanto.",Name the languages which uses the Latin alphabets,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Name the languages which uses the Latin alphabets<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
Create a list of the top 5 attractions in San Francisco.,,"- Golden Gate Bridge
- Alcatraz Island
- Cable Cars
- Golden Gate Park
- Fisherman's Wharf",Create a list of the top 5 attractions in San Francisco.,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Create a list of the top 5 attractions in San Francisco.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
Design a logo for a mobile application.,,"The logo design should be simple, modern, and unique. It should capture the essence of the application and communicate its functions. The logo should feature bold colors that are eye-catching, and the design should be adaptable to various sizes and platforms, such as websites and mobile devices.",Design a logo for a mobile application.,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Design a logo for a mobile application.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
How many sides does an octagon have?,,An octagon has eight sides.,How many sides does an octagon have?,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

How many sides does an octagon have?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
Create a fictitious character based off of the following three qualities.,"talented, ambitious, and secretive","I created a fictitious character named Jenna who is talented, ambitious, and secretive. She is a college student who is striving to make it big in the business world. To achieve her ambitions, she is willing to do whatever it takes and stays tight-lipped about her plans at all times.","Create a fictitious character based off of the following three qualities.

talented, ambitious, and secretive","<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Create a fictitious character based off of the following three qualities.

talented, ambitious, and secretive<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
Write a few sentences describing how to make a cup of tea.,,"First, boil a pot of water. Once it's boiling, grab a tea bag of your desired flavor and let it steep for 3-4 minutes. Remove the tea bag, sweeten as desired, and pour the tea into a cup.",Write a few sentences describing how to make a cup of tea.,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Write a few sentences describing how to make a cup of tea.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
"Summarize the book ""Pride and Prejudice"" in one sentence.",,"""Pride and Prejudice"" is a story about the journey of two people, Elizabeth Bennet and Mr. Darcy, as they overcome obstacles of pride and prejudice to find true love and lasting happiness.","Summarize the book ""Pride and Prejudice"" in one sentence.","<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Summarize the book ""Pride and Prejudice"" in one sentence.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
Construct an excel formula to calculate the total cost for the following list of items.,"Item	    Quantity	Price
Apple	    3	        2.6
Banana	    5	        1.8
Pears	    2	        3.9","=SUM (2.6*3, 1.8*5, 3.9*2)","Construct an excel formula to calculate the total cost for the following list of items.

Item	    Quantity	Price
Apple	    3	        2.6
Banana	    5	        1.8
Pears	    2	        3.9","<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Construct an excel formula to calculate the total cost for the following list of items.

Item	    Quantity	Price
Apple	    3	        2.6
Banana	    5	        1.8
Pears	    2	        3.9<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
Give me the common name for this substance.,muscovite,Muscovite is the common name for the mineral mica.,"Give me the common name for this substance.

muscovite","<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Give me the common name for this substance.

muscovite<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
